,ID,group,mean_purr_duration,std_purr_duration,breathe_duration,purr_duration,mean_silence_duration,std_silence_duration,n_purr_notes,song_length,purr_ioi,purr_ioi_std,breathe_mfcc_0,breathe_mfcc_1,breathe_mfcc_2,breathe_mfcc_3,breathe_mfcc_4,breathe_mfcc_5,breathe_mfcc_6,breathe_mfcc_7,breathe_mfcc_8,breathe_mfcc_9,breathe_mfcc_10,breathe_mfcc_11,breathe_mfcc_12,breathe_mfcc_13,breathe_mfcc_14,breathe_mfcc_15,breathe_mfcc_16,breathe_mfcc_17,breathe_mfcc_18,breathe_mfcc_19,breathe_mfcc_20,breathe_mfcc_21,breathe_mfcc_22,breathe_mfcc_23,breathe_mfcc_24,breathe_mfcc_25,breathe_mfcc_26,breathe_mfcc_27,breathe_mfcc_28,breathe_mfcc_29,breathe_mfcc_30,breathe_mfcc_31,breathe_mfcc_32,breathe_mfcc_33,breathe_mfcc_34,breathe_mfcc_35,breathe_mfcc_36,breathe_mfcc_37,breathe_mfcc_38,breathe_mfcc_39,breathe_mfcc_40,breathe_mfcc_41,breathe_mfcc_42,breathe_mfcc_43,breathe_mfcc_44,breathe_mfcc_45,breathe_mfcc_46,breathe_mfcc_47,breathe_centroid_bw_0,breathe_centroid_bw_1,breathe_centroid_bw_2,breathe_centroid_bw_3,breathe_minmax_freq_0,breathe_minmax_freq_1,breathe_minmax_freq_2,breathe_minmax_freq_3,breathe_flatness_0,breathe_flatness_1,purr_mfcc_0,purr_mfcc_1,purr_mfcc_2,purr_mfcc_3,purr_mfcc_4,purr_mfcc_5,purr_mfcc_6,purr_mfcc_7,purr_mfcc_8,purr_mfcc_9,purr_mfcc_10,purr_mfcc_11,purr_mfcc_12,purr_mfcc_13,purr_mfcc_14,purr_mfcc_15,purr_mfcc_16,purr_mfcc_17,purr_mfcc_18,purr_mfcc_19,purr_mfcc_20,purr_mfcc_21,purr_mfcc_22,purr_mfcc_23,purr_mfcc_24,purr_mfcc_25,purr_mfcc_26,purr_mfcc_27,purr_mfcc_28,purr_mfcc_29,purr_mfcc_30,purr_mfcc_31,purr_mfcc_32,purr_mfcc_33,purr_mfcc_34,purr_mfcc_35,purr_mfcc_36,purr_mfcc_37,purr_mfcc_38,purr_mfcc_39,purr_mfcc_40,purr_mfcc_41,purr_mfcc_42,purr_mfcc_43,purr_mfcc_44,purr_mfcc_45,purr_mfcc_46,purr_mfcc_47,purr_centroid_bw_0,purr_centroid_bw_1,purr_centroid_bw_2,purr_centroid_bw_3,purr_minmax_freq_0,purr_minmax_freq_1,purr_minmax_freq_2,purr_minmax_freq_3,purr_flatness_0,purr_flatness_1
dia19(35)_(35)20220719_020002_3,benidorm,melitensis,0.009109167476514423,0.0029153655100040963,0.3117460317460319,0.4463492063492067,0.014761904761904754,0.004913803074340398,49,1.5533333333333332,0.02402332361516035,0.005340465927620074,-907.3461602874443,51.010900065849995,-87.75494617806,-94.84729374787594,-1.0009833025259132,52.28438030004438,28.354546117747397,-6.777937359872097,-8.036579684147144,5.385863120311415,1.7515221502875986,-11.634534057207626,-9.93270530305501,1.7197669166066247,3.8838923925588085,0.8210169062427134,4.349443843984453,8.73388832489722,5.119453853409629,-4.278482768407292,-12.09739954155584,-11.181877355771963,-0.7213551478086323,9.447598130421866,38.93015223141384,19.458050729251948,33.670531157703216,34.670286030448075,7.894637025124181,17.302155930754704,14.518137435222826,11.70155254221282,11.132848124830778,11.948327433200019,10.754004241975704,12.094674009296737,8.282727987512782,7.760441338091759,8.062018927050481,8.970520032591276,9.383189708635282,9.559631475287944,12.469597782231121,11.910435319181541,12.512876782327988,13.219757480715325,14.38075043140726,16.66796758778711,1566.5035841112617,33.61769077148302,405.8425595276306,53.14360537762387,1081.6011235955057,87.65056643565028,2238.6629213483147,168.60214746791206,3.0552537641860074e-09,3.5819367224406187e-09,-932.7276738511755,32.67844598819004,-70.9102688301655,-62.279800665188525,11.868862986554042,37.15121928683701,10.23653228468778,-7.836321572547782,-0.443325417007346,5.921959494635127,-2.1232621118667154,-9.459334238757993,-5.371336783038637,0.9523959835711729,3.5520646857788614,5.133932993287972,3.4647803435531968,-0.9256553019136953,-1.691376689053822,-0.7436788429076668,-2.6036178371212517,-3.5342075324794453,-0.8393286114788575,2.826253111856896,14.15145765776602,6.256826740543417,12.304403803727556,9.18297258843935,5.259262335912069,5.828580858209359,4.109775418581535,8.710448998356615,10.17121141899135,5.961697152793125,9.051809932217063,7.780228791172453,5.452577322381214,4.9780580105255625,4.0241517162399285,4.75649456733231,3.977571466727853,5.732470536048985,4.348228824910604,5.058194934057982,4.6494567756488285,3.980731925215421,3.6299395576354856,3.7337212028518607,1665.3464773082353,57.34830122474321,456.16905190050915,79.94017452837755,1178.3682170542636,143.07782372194214,2459.0891472868216,264.02577209778406,5.759522998946128e-09,7.011607148397943e-09
dia19(35)_(35)20220719_020002_4,benidorm,melitensis,0.011428571428571422,0.0032516722168793918,0.32063492063492083,0.39999999999999974,0.01680672268907564,0.007536489048574939,35,1.3520181405895693,0.028154195011337865,0.008573535116493393,-923.9131225162233,43.52971853255582,-73.54011734341498,-82.47405315033032,-0.43494062125804667,48.83763261638026,23.805012253602563,-11.366206161866312,-7.432565448028694,9.879076585266374,3.5993003126412715,-12.735600893212073,-10.922341315036043,0.8410473373521645,3.0675800251344483,1.3874160239856148,6.392819992962336,10.700060700220849,4.272499165770939,-8.887940785289931,-15.803475440597927,-8.939060158057085,5.049952313099332,13.212271554798724,26.139133266998513,13.766554621018777,23.24403294664676,26.47422093255113,8.529011965790364,19.001124089372208,15.34451033240879,12.166870202927237,18.53739997442775,10.253122351264912,17.444872648588515,17.903148848370122,9.574775331802929,14.67437948398637,10.129072262154835,9.553196705848329,8.965130731658318,12.26218172775577,16.74996724726805,12.408130381855756,14.770153726744226,19.348791144111004,18.809991783489643,17.96749628130487,1548.9133920963232,58.45897241949028,367.85132499442796,72.08458860972851,1067.6914893617022,56.393002922639845,2164.1436170212764,272.4396587724033,1.030687270239215e-09,1.2733172760914744e-09,-943.3622318570378,27.208842850850296,-61.3963829820666,-53.696831399710554,9.111167057994772,34.78490917734212,15.60044006919884,-7.195369284611014,-9.345332005789505,0.8687172087272784,1.8662239965412264,-5.822275725481451,-4.60037419214625,4.08149862259859,6.277752164781842,1.771818592812066,-2.357270180502249,-2.8849953663546732,-0.0667290917624375,1.4390477110551199,-0.695222793525533,-1.752028769554407,0.3483166236800462,1.776874168924973,15.888871225328717,7.384136095879151,13.18611719723121,11.501642193120597,4.154446323586994,5.240405401020402,5.792488833316659,9.79941199944815,9.43129914235841,7.51891856082382,10.987799859739651,7.18807220271683,6.3368331969925835,6.612241245092024,3.245221086049502,5.0887399308239685,4.652046130511457,4.571818866837781,5.018428370586212,4.213995779882997,4.436411493898258,3.682609670526902,3.6320530905122537,3.459247243620677,1667.8364622209176,108.92651947291559,484.1966685922054,105.21340566961787,1225.265664160401,151.79735072858827,2442.9523809523807,401.7540366979565,6.735020755260024e-09,1.744264451589034e-08
dia19(35)_(35)20220719_020002_5,benidorm,melitensis,0.011774891774891761,0.0024194276381107804,0.3206349206349206,0.25904761904761875,0.02464096749811037,0.01081340781753418,22,1.181360544217687,0.03593073593073593,0.010609858848113723,-945.6939187976222,29.699149691638674,-56.57871513103209,-58.47647770837308,2.3176732346900915,38.05807062890019,22.727723489025642,-6.8714720426077225,-14.74576553431115,-3.4543658305441634,2.6199238738131836,-1.1501260415650574,-1.6363829295665302,2.0750498475105785,2.9713770008836193,1.9175095980026036,1.5926648977776645,0.5987980198308884,-3.27983463601051,-7.496324366133745,-3.69951180165344,7.164325457048581,9.544404935392299,-0.7529159782101348,33.99128601339352,16.525690566022934,30.185788264201058,29.865814713569137,8.658661455617986,16.459767569837794,16.269442746496654,16.895708607908457,15.424193566050466,18.37245328225974,16.140356562212407,12.538483094080135,14.376839267990198,10.40149190110748,10.1297913078551,10.923263659756211,12.280348010780958,11.182213250708378,12.955673140257641,14.413006896915238,8.854214074564712,15.745998687031227,14.383086752278162,10.292004263832753,1603.0535704810143,109.45997762718068,439.5458233949486,112.18373845141326,1184.451282051282,99.54780547696379,2254.620512820513,417.7911876790858,1.894106956150211e-09,4.20247038217511e-09,-933.8426885115283,21.20671023468591,-74.26547380501209,-40.53467340644173,16.99364980425552,20.520094674220697,17.803427947071118,9.813740411010823,-17.569253376355512,-20.36606014602548,5.320652875928309,11.25174885877299,-0.10854700502295489,1.5482528520144607,2.3344457438040993,-8.272947536478936,-6.156396807512166,8.003873131083276,8.267079966883689,-3.3183984736551793,-7.080746157784252,-1.6904246770948994,2.853676392024303,3.3563484312171803,20.53802849110879,5.74242323349285,19.973739737713963,9.56156824282256,5.199777626603949,5.94248547828015,8.74987855316176,11.837044156356797,9.874752249345805,13.359270109728023,10.652419114885262,9.355610150402235,9.009472819030636,6.872736806293736,6.521549397566253,7.874334490315682,7.5116132832289315,8.041468720052771,7.182605874840725,7.0319556067507065,5.908377038052415,4.83838205886487,5.210619913694885,5.1334651073599815,1853.6611163697885,172.1556450180203,567.9445625435508,118.40650914041896,1278.0282352941176,132.87669349196042,2863.489411764706,381.90524295140494,1.2439950079723773e-08,3.002617757756625e-08
dia19(35)_(35)20220719_020002_6,benidorm,melitensis,0.01026455026455027,0.0037398088988512736,0.35809523809523813,0.18476190476190485,0.020541549953314652,0.007206184432674354,18,0.9653514739229025,0.030617283950617285,0.009623361075120948,-925.9529113761412,53.148805589679284,-47.54822030280701,-68.41708943821733,-17.816805318033055,21.351616358393315,14.005875523079022,-12.287653040086143,-17.3566472144265,3.9698270943106984,16.256914351491847,1.1840968986589893,-12.418181387730128,-5.064758157760808,3.6671692372633125,2.2547470455538896,2.8394431932035324,7.860711848892924,9.210988215117473,6.29336816661385,0.17210287944603095,-8.643998543603825,-13.344736752868517,-8.881286575336949,35.49926619483206,20.357607740734604,22.601063758503678,23.792483882160894,8.380985844154532,17.374997140500536,18.472398448162494,23.547240535512312,25.282118195647513,25.22778840726889,21.78398176941048,18.899015734127016,14.708319341150851,12.203389858396994,12.238655090235124,16.671549315065622,22.456514666660823,18.915318510386953,23.61814162388897,29.51224825547928,23.057301559423394,26.00065897962067,28.814155012932353,22.86011439990908,1392.294897066481,66.76587666510915,433.3557107641147,90.28576535678773,820.90625,118.63150914043663,2137.2,374.3388137770381,8.086658528722583e-09,3.374241436410208e-08,-921.3483177587932,50.00666079682119,-60.08979441603196,-72.62145490744123,-14.931948906084148,18.67025378001708,13.531902624495075,3.045042713997328,1.1850631443456467,3.732177001035955,1.7057481221330784,-6.321343300308046,-7.209453342241742,3.838440591043272,11.035844945961117,4.262710599131327,-6.325352193654183,-8.086216391106785,-0.897170065575333,5.776910063851025,4.478800904487638,-1.8867996432330036,-5.450258143328636,-3.5659858662358137,14.795052105786732,8.836192295380888,9.57998763438683,9.406793341262995,6.791224296208997,8.036887018339863,7.384538960069543,10.46887626001697,10.66446819711633,11.847029612647782,11.859992684841808,11.2336842786923,8.685508332584734,8.205744526269115,5.815160874845847,6.061937637263792,7.552567434759355,6.304871484977839,7.119285601801932,5.642149651484352,5.767745783243718,4.8542952890565605,4.585230385699142,4.866935703963332,1508.051000137086,143.85674128988126,468.0172746409883,83.51953061747133,988.3877551020408,147.80552502781242,2371.2517006802723,350.15049910133956,1.58538826489633e-08,2.8167198644027115e-08
dia19(35)_(35)20220719_030004_0,benidorm,melitensis,0.02054275473630312,0.06416206619216823,0.0019047619047618536,0.6368253968253967,0.018074074074074076,0.006730824232511826,31,1.2570068027210883,0.038525345622119817,0.0640727946727064,-968.9092091182744,18.87219561771078,-34.81229107081827,-37.93490164813256,-1.844199074769276,23.409899568075346,20.78051552834588,2.4545762819670838,-13.069936970877322,-12.116173193839865,-0.9641172770483576,3.9197803403504743,2.992407403626295,4.779726494518298,4.160873823921288,-3.450609563124969,-7.717488605424183,-2.5995697060076117,3.0570762739778576,3.726275611260236,3.51110161383793,1.9979637538606712,-4.337590648529607,-8.299594859771187,16.662938192934803,6.8250044110388,19.672187267784775,14.2349356234241,18.014672636920448,20.53789435639564,18.303167919623142,29.47320301881919,21.728092034954543,28.39172430015916,25.365390602551717,18.18604300149754,20.16472754616145,14.420398778804262,12.278133521982232,17.925332776156505,19.729475392401827,18.751143282580784,21.969803216982513,19.772421743647914,19.011052204759167,16.275311724264796,19.60338874203011,18.536234360742757,1573.3183003476715,133.1785440593455,414.4756430279639,87.21060232479175,1226.6633663366338,141.8877172328143,2288.762376237624,362.2303066007814,3.9231130493992756e-11,4.7951902047500613e-11,-968.1884221766093,16.358435244499077,-38.214100776131374,-33.809068282817336,5.004542881875977,23.50888006655081,15.75215502309165,-2.0885667687956904,-14.907374020415002,-9.124709083055732,5.334924286183566,6.39852633912931,-0.7701221290127503,0.01016412193366234,2.2053052165950726,-2.3581668920274135,-3.7287141274071685,1.7123423237438042,3.1064996926401514,-1.2372173003301654,-2.1433739323468752,1.224577466099375,2.0523877163007387,-0.575199503768318,13.421888628579259,5.720715956829141,12.814146125254585,11.030225249232185,4.40361289810683,7.3041880940157,7.820831741024426,7.605038474756804,7.345545109215698,9.59789584892248,7.07790142282256,6.661672965033691,6.226497718770133,4.775902300297715,4.241836515915588,5.3221711255061015,4.9351637038786595,5.104366668657836,5.092954821436489,5.094796595707052,4.646175006629991,3.9076824221344384,4.379758955542457,3.7001036086933046,1696.0897799408015,187.96634377845382,469.93015804768186,119.07550293790335,1290.0468085106384,162.72256097885298,2374.812765957447,433.49414465947706,0.002123143232825541,0.046028627106876656
dia19(35)_(35)20220719_030004_1,benidorm,melitensis,0.00898989898989899,0.0035427081377174398,0.3168253968253967,0.3955555555555556,0.01794019933554817,0.008894258804338173,44,1.68,0.026709956709956715,0.008946830048936654,-968.7166612264303,23.378859791833012,-26.233197058569193,-36.924517779442645,-11.778369800764851,14.91391412933396,21.341265866329245,5.962463956620955,-13.960180955826837,-16.786092499984257,-1.7180973421478545,8.98633431603558,5.444074642903275,2.9995876785578095,3.737319259533542,-3.8636107132618847,-8.018120014210036,2.728814920892482,10.616889878809747,3.7522495862363274,-6.065358609520407,-8.970155167929894,-6.248008416320465,-0.2972936629675733,8.665427372669484,5.7522525066447585,7.894223614535952,9.022024697282129,7.457151372713513,6.4019663426175635,18.40443717293913,23.224167549784916,10.371287900454503,28.067517698696722,19.077994303654073,16.065765419038975,22.371995066937362,15.065455327750874,11.48242826843353,23.40256794869498,20.844130246427444,16.950019574111874,23.78926712467417,20.552853885570425,18.321041943990803,17.246767339186853,17.695399885119045,18.888178811888068,1459.4948699999898,128.1393409883008,455.01581686178486,138.47895106181977,1018.4961240310078,217.49515272264136,2258.0077519379847,568.9840326382383,8.35202860284555e-11,7.462110961065204e-11,-978.4806081739009,18.343617918766277,-19.01893553153342,-28.95456428000306,-10.45870625195359,7.777255804287922,10.139427385134736,4.757640492662617,3.232978719135321,3.3711812688681486,-2.3852347039718307,-9.333037792001488,-7.163350615054714,1.9028190163471879,7.423011870160352,5.450706078113288,-0.4593455472644374,-4.63597593789409,-3.582798832705704,0.39117313389534086,2.7692756827749334,2.6396623954046983,0.6951699621528841,-2.316501956023179,9.489784078408087,6.594642258277791,5.3162133114899115,8.931950148338595,5.725722634057301,4.039058002350218,4.780847297964673,5.438669299936757,7.049659218772797,6.464040410067682,5.849163536817595,7.74349752097237,5.407266980693239,4.7434553000462625,5.296820880446579,3.646790978905448,4.778946516470467,4.572775936474988,4.4325486880845935,4.787048418413414,3.8522606383351548,4.28365057766321,3.983730949071488,3.309853414664337,1482.5066608523434,272.4639485831388,425.3494077551724,101.00300016537695,1115.825,321.8740707977626,2057.826923076923,384.7259274797423,7.170110727906189e-10,2.14911441369574e-09
dia19(35)_(35)20220719_030004_2,benidorm,melitensis,0.0101984126984127,0.003982843550525602,0.3326984126984125,0.4895238095238096,0.018628841607565005,0.008379556949670576,48,1.773015873015873,0.028769841269841275,0.009311708968299257,-954.9588726667898,25.89633794796829,-47.68096189183061,-51.27061849498364,-0.04346604427793555,32.2814926778003,22.70457875624689,-1.392221436593759,-13.57280026686351,-8.807325016029328,-0.28305841499163675,0.10551080307145663,-0.8611852026056455,5.251562536365996,8.66738641600293,0.8734369938012829,-6.828859752056785,-4.747081058968478,-1.3445594656997284,-2.181278612696717,1.7462649270969308,10.321067409632532,7.254181891533251,-8.648376193376118,32.66881200305332,16.05481622901889,31.27545236189963,31.63238274414987,16.190356447213812,22.7236433891749,22.75170729388633,24.05083343175334,15.815860057870168,26.015746059974564,17.79534895824283,14.753364608762869,15.046596678666205,13.521289490527074,10.940739544548356,11.482889758786351,19.43138849106491,14.030598018207973,17.002358082760612,19.15420217778794,16.123485289399305,13.037039887516082,17.616904306471504,16.05804620231075,1580.3358460222241,111.980119706529,396.38822884178495,54.34428099307563,1190.1328671328672,114.58592145318748,2229.3706293706296,308.90987388932257,5.671933511983203e-10,1.0399880605424048e-09,-973.7817107673708,13.610236057211543,-32.79464712404089,-27.877707206402015,4.3248532111196445,18.066438453931273,13.400781286810489,2.0214137213153576,-11.33149736272575,-12.761364920416364,0.5347105032151382,8.945625545568634,4.778194347564169,0.24503243322578444,-1.458286839653006,-4.94360263889693,-4.215488330684548,3.7498217335237234,6.68460360656331,-0.7506768105629396,-5.827537229933701,-1.1960525268452484,3.89956741457764,2.09446155642986,11.828492267194513,5.575288068296347,10.926344490305617,10.617820100279916,3.554157985940717,5.993233135972559,7.002542571273337,6.8593745504952315,5.852891721554451,8.913095123695557,7.024734046482186,6.240805226893659,6.451940660799959,5.335447340713578,3.508248024920132,5.580373064654439,4.379293974624224,4.324259472993085,5.07821141550167,4.235724149037311,3.9091706811180504,3.794439895952059,3.749954528751697,2.7583516455963015,1684.4899873504085,173.8477031356703,459.4866246862792,100.88987401433394,1280.2314606741572,126.08585588863566,2416.339325842697,403.81164193388884,8.652197712987377e-10,1.3172275787901032e-09
dia19(35)_(35)20220719_030004_3,benidorm,melitensis,0.011044277360066839,0.004542513850733876,0.3707936507936509,0.4196825396825399,0.024332904332904328,0.015139142499779904,38,1.776689342403628,0.03513784461152882,0.0161934417096974,-946.463478865309,30.858494747832175,-53.11399559954275,-58.10518871836215,-2.9313635063687555,32.58633255873819,24.17295698419532,-0.9676072694177315,-13.0433141105521,-5.363631941756426,3.6260582603760554,0.529745945982494,-4.060830814066719,-1.6333130769821125,0.906851292870444,1.5408669502151366,4.757973912282154,6.607095581226484,0.6631494716664612,-9.133565076531358,-11.822938842264719,-1.9737966505091489,11.262960221445248,12.059912726671339,26.905162185293683,12.466370709594347,23.171072200808233,20.70906078431807,4.258997745341266,9.967955432096167,7.804303445921011,9.268548022868936,12.208861292273953,8.301266540790925,15.582604173541851,11.357409764659636,11.137894748797116,14.11680180214556,8.228045071046227,10.536589222664492,12.980436778441014,14.707316863520935,16.029011148259432,18.014126436872843,18.82164467661598,18.884823026007865,21.905730644471742,21.752941691746244,1562.5969897353532,63.552154544173234,440.3722384519031,79.94705807382182,1102.44375,56.06043021541576,2370.00625,373.7748235380996,2.543928194139241e-09,7.618506410579784e-09,-972.3360808513528,13.569635005942528,-33.698126590043444,-25.31561648822816,6.417617620145147,13.445708147765982,6.439498178204337,1.7206655679708425,-4.43472238189447,-5.712281660868761,1.0238101531662078,2.043526128861859,-2.3250798875160767,0.9133418557483337,5.448475974406422,0.16367678739270167,-5.3215680436623956,-1.8869529263393445,2.0421856973867114,0.7485895480390344,-0.2743243973829347,0.8959204497537528,0.9158016788956415,-0.19737670328508525,8.671823771888983,3.4882035624666794,8.41688583952018,5.8292373078794455,3.3415858983544937,3.9153763982963987,3.8775716465514405,6.2407184443124795,5.465566038905847,6.614823571404424,6.6475388775697075,5.425612536427677,5.0131019080381884,4.53163626966876,4.322975191626457,4.01498862926316,4.660164022697956,3.9531455623669998,4.012097123868413,4.237406852459593,3.3894383913773387,3.3168980654649483,3.7189746549120826,3.2682509163806777,1768.5209771035281,183.5595971196847,493.8761328473888,79.52743424972759,1243.3766937669377,191.84521651345892,2669.6720867208674,274.74925411269635,2.1186643515780595e-09,4.173705670763085e-09
dia19(35)_(35)20220719_030004_4,benidorm,melitensis,0.01056399864910504,0.003698542206770191,0.35111111111111093,0.4965079365079369,0.018509316770186326,0.009999588008474473,47,1.776689342403628,0.028963188112124286,0.01052330705548924,-947.4837291625088,29.425510584442613,-52.957583423507,-55.2943042553749,-1.17591414656289,30.075213188511384,21.472758859302633,0.986444808767455,-9.783483124027953,-6.191408733680874,0.6339875716919585,-0.13162689456441912,-2.4246190297722006,0.46258271050859767,1.7707293351612028,-1.134708875064254,0.40573015911917243,6.647230103517871,5.705977208627183,-4.895573318820715,-11.972571522477368,-6.347471767282243,5.395410541539305,11.282650262640432,33.52167974286629,14.891211046462107,29.498102872857384,25.19150559170357,7.265835000736089,10.38509725399189,11.584094882157705,16.18804813954634,10.858315082033338,14.00034627979763,16.503699203807408,8.948430697630174,14.28325969745334,12.777527723620508,9.81856147211296,14.330916834725242,14.217476582277941,13.096998317355832,16.61649835344063,18.2204176646219,16.378068288809462,17.265504041308837,22.338244319997884,19.234091073948832,1579.2232112425852,68.0528368419922,420.5900531187997,90.69065103830167,1127.6136363636363,88.01219334663777,2329.7613636363635,347.9586572332912,3.6946801086467356e-09,8.849496220564519e-09,-965.3551116971311,15.783706114316487,-40.56431277089019,-29.339128445376076,7.755072042110021,15.593907986039536,8.984864082168576,3.2068853314453074,-7.241713040104508,-10.25578587732331,-0.19309321438241203,4.759990395843884,2.0056809330711785,3.6052777143740546,3.048547212511449,-5.552176788563829,-6.6679884173535005,3.5689252843182837,6.342812354392231,-2.099449201262161,-5.416860433301461,-0.1430473959499714,3.1064642328477685,1.8947668974106062,14.962813023765024,5.979995196370376,13.703536309274957,9.758883740196307,4.749434438028643,4.464063013279152,5.939488029200599,8.752229452066981,5.816245780781625,9.606323708933191,8.114852473690854,7.02500235366222,6.96799307198737,5.436613028333822,4.92696891370404,5.9284961235824145,5.213434316927571,5.3073164811479385,5.829931507652439,4.4821234129546506,4.991017512777314,3.649636649007849,4.387396412646455,3.8683278942531745,1771.668748610332,187.35792661448582,514.5411654463796,100.62777946355712,1263.5714285714287,195.69096773910934,2633.781385281385,368.4244943699599,4.874829794211927e-09,1.733849498997347e-08
dia20(35)_(35)20220719_230004_0,benidorm,melitensis,0.00872646733111848,0.0029082602473917054,0.4044444444444446,0.3752380952380946,0.020362811791383235,0.012768809297223425,43,1.7336961451247166,0.029029162052417866,0.01313985416330284,-954.671682177986,34.28032938864993,-34.26038250173494,-51.27413231731133,-10.953799567028254,26.809868996766387,22.030021646329324,-7.819973639718428,-23.448965231956294,-10.554310698003714,10.0629184402915,12.450911408222865,-0.8304569913579494,-6.570726985982976,1.9516035088170043,8.519026829992825,4.829612160136829,0.8685661091083604,1.073297820294843,-2.8044096431826486,-10.405496683190245,-9.729618285692274,0.23230153350984908,6.2851970769049235,18.655624302691646,13.817232433607932,10.37942920836461,17.797995410460896,8.825892235714706,14.337512306483843,11.322443222090492,21.0603216495596,18.082694235409807,13.12183980330595,17.94577383715716,13.503928653822362,13.310749829334865,15.013746410267185,11.328879130696262,7.157547328834539,13.740247398026263,11.741528791444047,11.405158874647345,17.041794552990876,15.944232677511295,14.47474251193115,15.018296788442083,17.328025347848175,1409.3174054487904,71.85083377620587,381.8422545067912,72.4587458827215,932.264,157.23455823704916,1972.704,303.2704673785432,6.290773795933624e-10,1.408900683072947e-09,-972.022294972287,17.705200243109104,-28.836663042904433,-28.9507050394566,-0.34485215223745364,13.865075692705497,9.320744016563726,-2.3057416326844047,-11.47151213117801,-4.814001985484062,11.839672331596597,12.24551758476375,-4.178688807293839,-10.665782764436072,-2.405942227386865,2.0307205371019226,-0.2265328819563996,1.3915833962049726,5.003280536290772,2.7056480311577253,-2.9334696052655613,-5.102254047153718,-2.7340828121536074,1.3659245653684349,9.785845938372903,5.186878054149172,7.388220185074983,6.850371548590581,3.310077570900877,4.853232291354536,5.6564318983322,5.108336923504414,5.986602097404235,7.92918790546764,5.284588515707594,5.580311785909556,5.002038464205376,3.1989895623865308,3.4288351249657274,3.8796281061218094,4.767548241205204,5.0097810818319495,5.704940129942787,4.392411728613164,4.353347633927179,4.646028807532506,3.1124117467283945,3.9259184658033788,1603.3438834200367,176.26297907620602,490.82520668888384,131.23643736361257,1109.3579418344518,213.4122410484483,2364.7337807606264,437.55562975159694,9.76128854579041e-10,1.8616855939186058e-09
