feature,value
mean_purr_duration,0.020979845236884658
mean_purr_duration,0.015461627079313976
mean_purr_duration,0.024405080071661884
mean_purr_duration,0.007469073618393812
mean_purr_duration,0.019122236821264262
mean_purr_duration,0.0115521512128307
mean_purr_duration,0.01647233526155143
mean_purr_duration,0.02414408031308094
mean_purr_duration,0.01656603677203527
mean_purr_duration,0.018892006946922404
mean_purr_duration,0.018467703749812367
mean_purr_duration,0.02772382558538643
mean_purr_duration,0.014633910921743674
mean_purr_duration,0.021607266050948204
mean_purr_duration,0.012106674515483265
mean_purr_duration,0.017110674168158833
mean_purr_duration,0.011280360029584895
mean_purr_duration,0.01039543188136366
mean_purr_duration,0.02205659205605193
mean_purr_duration,0.015007262797286765
mean_purr_duration,0.025300493067596377
mean_purr_duration,0.019710049479294445
mean_purr_duration,0.01927472469653203
mean_purr_duration,0.02314140177755263
mean_purr_duration,0.01650652345200737
mean_purr_duration,0.009849884082940841
mean_purr_duration,0.013696748639808241
mean_purr_duration,0.01478541394803321
mean_purr_duration,0.0123989095772543
mean_purr_duration,0.016567568838766047
mean_purr_duration,0.02281028868200379
mean_purr_duration,0.020476267353649668
mean_purr_duration,0.02105177294970551
mean_purr_duration,0.025017065889708947
mean_purr_duration,0.0315762184599375
mean_purr_duration,0.02202891352461344
mean_purr_duration,0.014102117842529691
mean_purr_duration,0.018073842065977563
mean_purr_duration,0.01902323030166971
mean_purr_duration,0.0185752232378731
mean_purr_duration,0.01517241627343582
mean_purr_duration,0.019129753268256357
mean_purr_duration,0.039697054612960705
mean_purr_duration,0.023208765102777525
mean_purr_duration,0.021501449430531516
mean_purr_duration,0.02032465764697295
mean_purr_duration,0.011349679780694805
mean_purr_duration,0.01620069661185801
mean_purr_duration,0.025883479804578804
mean_purr_duration,0.025307460721416035
mean_purr_duration,0.027588932286586113
mean_purr_duration,0.017331065437849708
mean_purr_duration,0.017017668480597315
mean_purr_duration,0.02412738262702108
mean_purr_duration,0.0205204231380372
mean_purr_duration,0.01631338420613997
mean_purr_duration,0.01960986528449331
mean_purr_duration,0.02157325590577605
mean_purr_duration,0.034959512459250205
mean_purr_duration,0.02258687038379031
mean_purr_duration,0.021764379752478826
mean_purr_duration,0.02455397766095455
mean_purr_duration,0.01821922058151261
mean_purr_duration,0.019083466892052526
mean_purr_duration,0.023740078467499
mean_purr_duration,0.01822878753841154
mean_purr_duration,0.019848862381199924
mean_purr_duration,0.018029334976919675
mean_purr_duration,0.02244162439422468
mean_purr_duration,0.021444100085216057
mean_purr_duration,0.021974160929186262
mean_purr_duration,0.02540055332913983
mean_purr_duration,0.021121063369191617
mean_purr_duration,0.028787800629817718
mean_purr_duration,0.01515230141735282
mean_purr_duration,0.025071600905651265
mean_purr_duration,0.018453051643131484
mean_purr_duration,0.01972960236974812
mean_purr_duration,0.016202029055783954
mean_purr_duration,0.026721007366626807
mean_purr_duration,0.01672478629035833
mean_purr_duration,0.020823562656898765
mean_purr_duration,0.017400792463131563
mean_purr_duration,0.013093307487807623
mean_purr_duration,0.021340802086920782
mean_purr_duration,0.02214762702779514
mean_purr_duration,0.02411277067414588
mean_purr_duration,0.017429688730559733
mean_purr_duration,0.025247101040350602
mean_purr_duration,0.023594267731093632
mean_purr_duration,0.01606522287208669
mean_purr_duration,0.015775995792967318
mean_purr_duration,0.024210890404042354
mean_purr_duration,0.020263832609178654
mean_purr_duration,0.025509212650946758
mean_purr_duration,0.023738246372083886
mean_purr_duration,0.014066523809880554
mean_purr_duration,0.023785032959357882
mean_purr_duration,0.019139887466214586
mean_purr_duration,0.02059056154682969
std_purr_duration,0.01055803043647525
std_purr_duration,0.008515551443027168
std_purr_duration,0.011804352736632072
std_purr_duration,0.00589776211511522
std_purr_duration,0.009652596568291174
std_purr_duration,0.00893543741196394
std_purr_duration,0.010879496717514208
std_purr_duration,0.009442421337534328
std_purr_duration,0.006285307558341094
std_purr_duration,0.007264802161784811
std_purr_duration,0.014333042083654234
std_purr_duration,0.007801692787535206
std_purr_duration,0.009189574292927539
std_purr_duration,0.007699711905391875
std_purr_duration,0.010091933019186485
std_purr_duration,0.008977750365175693
std_purr_duration,0.010589567820163868
std_purr_duration,0.010960217465266604
std_purr_duration,0.009399695755603963
std_purr_duration,0.007796679030982558
std_purr_duration,0.00749460709480365
std_purr_duration,0.0051840876687056095
std_purr_duration,0.017040930856274145
std_purr_duration,0.009945249650783146
std_purr_duration,0.009619956805017111
std_purr_duration,0.010662086899297242
std_purr_duration,0.0067009246789850475
std_purr_duration,0.012556431519315459
std_purr_duration,0.005564912649818831
std_purr_duration,0.007412728690160969
std_purr_duration,0.009235699694907113
std_purr_duration,0.011590723399487982
std_purr_duration,0.011037101973718499
std_purr_duration,0.00721259927306853
std_purr_duration,0.01285474687058283
std_purr_duration,0.01133070101319669
std_purr_duration,0.00851142501578686
std_purr_duration,0.011630844285561836
std_purr_duration,0.010759474620196986
std_purr_duration,0.010263571466881628
std_purr_duration,0.00846122315655981
std_purr_duration,0.011659768901585616
std_purr_duration,0.010512915079316558
std_purr_duration,0.007961658273805294
std_purr_duration,0.009111420690139505
std_purr_duration,0.0058163835967614185
std_purr_duration,0.007136713660136408
std_purr_duration,0.0125993666378794
std_purr_duration,0.005656435322775708
std_purr_duration,0.005173079687017068
std_purr_duration,0.00776054303378358
std_purr_duration,0.006928773604738748
std_purr_duration,0.007259645233792221
std_purr_duration,0.0060995220005541145
std_purr_duration,0.010820514992756833
std_purr_duration,0.009164676329540109
std_purr_duration,0.009211451641817045
std_purr_duration,0.010866387958053003
